pl_name,hostname,pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt,habitability_score
HD 136352 c,HD 136352,0.0007777091484489,0.1121956747050335,0.0367267539300809,0.0017840174219868,0.1322356573192693,0.947852941103911
HD 136352 d,HD 136352,0.0001238089623479,0.0969561424950796,0.0930154398819473,0.0013975069330693,0.0689477746333933,0.9558006101177081
HD 1397 b,HD 1397,0.0079247312778699,0.481751489527699,0.0228382050831198,0.0210551508980256,0.2740674041677386,0.8295797469216364
HD 183579 b,HD 183579,0.0012899606566342,0.1394890741996968,0.0281131827701868,0.0031352069824173,0.1559042963725238,0.9379167391237048
HD 18599 b,HD 18599,0.0032253804853868,0.1028969770854007,0.0095506030612676,0.0040615544351948,0.1800874710573707,0.9445276497312625
HD 189733 b,HD 189733,0.0079247312778699,0.5266279082800936,0.0053350723695778,0.0591775955873536,0.2691021353228711,0.8132312568937564
HD 191939 b,HD 191939,0.0022231492737197,0.1334621405573421,0.0163168191661974,0.0015859707251861,0.1844610239259068,0.9363494904280056
HD 191939 c,HD 191939,0.0004636767021265,0.124206492463726,0.0374167299144652,0.001266540569056,0.1124260355029585,0.947950387442729
HD 191939 d,HD 191939,0.0003144556106117,0.1155965872603622,0.0458745000456274,0.0004360221631176,0.0969899665551839,0.9517833670812621
HD 202772 A b,HD 202772 A,0.0766109769841165,0.7321908586942888,0.0100135546894996,0.0516140213414017,0.5065603293028043,0.7066607830985419
HD 20329 b,HD 20329,0.0773682183440427,0.0607084415889181,0.0024282703192363,0.0011739058237782,0.5088757396449705,0.8848034549561328
HD 207496 b,HD 207496,0.0016195833662492,0.0835246903778321,0.012421793447899,0.0009630819207323,0.1492153331618214,0.9548158566924577
HD 207897 b,HD 207897,0.0005861716279969,0.0943301214080537,0.0243071862111638,0.0022887170686724,0.1207100591715976,0.955246647248997
