pl_name,hostname,pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt
KPS-1 b,KPS-1,729.0,11.54527,0.0269,346.4347,1459.0
Kepler-10 b,Kepler-10,3820.0,1.47,0.01685,3.26,2188.0
Kepler-10 c,Kepler-10,18.68,2.355,0.241,11.4,578.0
Kepler-102 b,Kepler-102,90.0,0.46,0.05521,1.1,857.0
Kepler-102 c,Kepler-102,61.0,0.567,0.06702,1.7,777.0
Kepler-102 d,Kepler-102,36.9,1.154,0.08618,3.0,686.0
Kepler-102 e,Kepler-102,20.3,2.17,0.1162,4.7,590.0
Kepler-102 f,Kepler-102,10.0,0.861,0.1656,4.3,495.0
Kepler-103 b,Kepler-103,149.9,3.486,0.13223,9.8,973.0
Kepler-103 c,Kepler-103,5.95,5.45,0.6639,38.0,434.0
Kepler-107 b,Kepler-107,1073.0,1.536,0.04544,3.8,1592.0
Kepler-107 c,Kepler-107,602.0,1.597,0.06064,10.0,1378.0
Kepler-107 d,Kepler-107,315.0,0.86,0.08377,7.7,1173.0
Kepler-107 e,Kepler-107,138.7,2.903,0.12638,14.1,955.0
Kepler-109 b,Kepler-109,442.0,2.49,0.0701,4.9,1276.0
Kepler-109 c,Kepler-109,91.0,2.65,0.1546,8.2,859.0
Kepler-111 c,Kepler-111,2.48,7.0840758,0.751,222.4798849,352.2
Kepler-138 b,Kepler-138,9.9,0.64,0.0753,0.07,452.0
Kepler-138 c,Kepler-138,6.8,1.51,0.0913,2.3,410.0
Kepler-138 d,Kepler-138,3.4,1.51,0.1288,2.1,345.0
Kepler-1514 b,Kepler-1514,3.23,12.419572,0.753,1678.1424,387.9
Kepler-1654 b,Kepler-1654,0.3,9.180171,2.026,158.915,206.0
Kepler-1655 b,Kepler-1655,129.1,2.213,0.1029,5.4,938.0
Kepler-1661 b,Kepler-1661,0.88,3.87,0.633,17.0,243.0
Kepler-1704 b,Kepler-1704,0.342,11.94877343,2.027,1322.16617312,253.8
Kepler-1876 b,Kepler-1876,475.0,0.853,0.0758,2.4,1299.0
Kepler-19 b,Kepler-19,87.6,2.209,0.0846,6.1,851.0
Kepler-20 b,Kepler-20,331.0,1.773,0.04565,9.7,1187.0
Kepler-20 c,Kepler-20,78.7,2.894,0.0936,11.1,828.0
Kepler-20 d,Kepler-20,5.71,2.606,0.3474,13.4,430.0
Kepler-20 e,Kepler-20,169.8,0.821,0.0637,0.76,1004.0
Kepler-20 f,Kepler-20,35.9,0.952,0.1387,1.4,681.0
Kepler-21 b,Kepler-21,2749.0,1.639,0.0434,7.5,2015.0
Kepler-22 b,Kepler-22,1.013,2.1,0.812,9.1,279.0
Kepler-278 b,Kepler-278,110.0,3.955,0.202,56.0,586.0
Kepler-278 c,Kepler-278,54.3,3.268,0.287,34.9,492.0
Kepler-323 b,Kepler-323,1900.0,1.381,0.02778,3.9,1838.0
Kepler-323 c,Kepler-323,700.0,1.57,0.0458,6.8,1431.0
Kepler-37 b,Kepler-37,44.5,0.3098,0.1019,0.79,718.0
Kepler-37 c,Kepler-37,23.9,0.755,0.139,1.3,615.0
Kepler-37 d,Kepler-37,10.39,2.03,0.2109,2.0,499.0
Kepler-391 b,Kepler-391,690.0,2.5,0.083,1100.0,930.0
Kepler-391 c,Kepler-391,179.0,2.88,0.164,450.0,662.0
Kepler-409 b,Kepler-409,6.15,1.199,0.3192,6.0,438.0
Kepler-454 b,Kepler-454,117.7,2.37,0.09528,5.4,916.0
Kepler-538 b,Kepler-538,2.99,2.215,0.4669,10.6,380.0
Kepler-538 b,Kepler-538,5.07,2.215,0.3554,12.9,417.0
Kepler-553 b,Kepler-553,235.0,4.74139884,0.04766,116.00736855,1089.0
Kepler-553 c,Kepler-553,0.589,11.57887706,0.898,2129.4503269,251.0
Kepler-68 b,Kepler-68,441.0,2.357,0.06135,8.03,1275.0
Kepler-68 c,Kepler-68,204.0,0.979,0.09008,1.3,1052.0
Kepler-78 b,Kepler-78,4070.0,1.201,0.00901,1.68,2223.0
Kepler-849 b,Kepler-849,2.86,8.08167508,1.137,298.75870258,362.7
Kepler-93 b,Kepler-93,275.0,1.478,0.05343,4.66,1133.0
L 98-59 b,L 98-59,24.5,0.837,0.0223,0.46,620.0
L 98-59 b,L 98-59,24.7,0.85,0.02191,0.4,627.0
L 98-59 c,L 98-59,12.8,1.385,0.0304,2.22,553.0
L 98-59 c,L 98-59,12.7,1.329,0.0309,2.0,526.0
L 98-59 d,L 98-59,5.01,1.521,0.0486,1.94,416.0
L 98-59 d,L 98-59,4.97,1.627,0.0494,1.64,416.0
LHS 1140 b,LHS 1140,0.46,1.43,0.0875,6.65,230.0
LHS 1140 b,LHS 1140,0.43,1.73,0.0946,5.6,226.0
LHS 1140 b,LHS 1140,0.503,1.727,0.0936,6.98,235.0
LHS 1140 c,LHS 1140,5.3,1.272,0.027,1.91,422.0
LHS 1140 c,LHS 1140,6.16,1.282,0.02675,1.81,438.0
LP 791-18 c,LP 791-18,2.637,2.438,0.02961,7.1,324.4
LP 791-18 d,LP 791-18,5.83,1.032,0.01992,0.9,395.5
LP 890-9 b,LP 890-9,4.09,1.32,0.01875,13.2,396.0
LP 890-9 c,LP 890-9,0.906,1.367,0.03984,25.3,272.0
LTT 1445 A b,LTT 1445 A,5.4,1.305,0.03813,2.87,424.0
LTT 1445 A b,LTT 1445 A,5.7,1.34,0.0381,2.73,431.0
LTT 1445 A c,LTT 1445 A,11.7,1.07,0.02659,1.37,516.0
LTT 1445 A c,LTT 1445 A,10.9,1.147,0.02661,1.54,508.0
LTT 3780 b,LTT 3780,116.0,1.35,0.01203,2.34,1000.0
LTT 3780 b,LTT 3780,106.0,1.332,0.01211,2.62,892.0
LTT 3780 b,LTT 3780,111.0,1.325,0.01195,2.46,903.0
LTT 3780 c,LTT 3780,2.76,2.39,0.0757,8.04,359.0
LTT 3780 c,LTT 3780,2.88,2.42,0.0762,6.29,397.0
LTT 3780 c,LTT 3780,2.63,2.3,0.07673,8.6,353.0
NGTS-1 b,NGTS-1,65.3,14.90797,0.0326,258.07796,790.0
NGTS-12 b,NGTS-12,416.0,11.747032,0.0757,66.10864,1257.0
NGTS-13 b,NGTS-13,1096.0,12.800678,0.0549,1538.2972,1605.0
NGTS-15 b,NGTS-15,425.0,12.32987877,0.0441,238.68913366,1146.0
NGTS-16 b,NGTS-16,480.0,14.57167491,0.0523,211.99154747,1177.0
NGTS-17 b,NGTS-17,1160.0,13.89913607,0.0391,242.82090295,1457.0
NGTS-18 b,NGTS-18,845.0,13.56286665,0.0448,129.99181846,1381.0
NGTS-26 b,NGTS-26,523.0,14.88552637,0.049,92.80589484,1331.0
NGTS-27 b,NGTS-27,1680.0,15.64773706,0.0446,188.47224535,1783.0
