pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt
185.0,2.726,0.05186,9.5,4.066666666666666
77.59,2.759,0.0814,6.63,3.2462745098039214
26.7,2.93,0.137,13.6,2.5023529411764707
95.58,2.41,0.0367,8.56,3.4156862745098038
91.0,2.34,0.0366,8.6,3.372549019607843
28.4,2.82,0.0656,11.8,2.5215686274509803
29.81,2.76,0.0657,13.2,2.552941176470588
10.32,3.12,0.1116,11.84,1.9568627450980391
4.72,2.458,0.0745,15.9,1.607843137254902
5.5,2.62,0.0728,4.23,1.6666666666666667
4.9,2.37,0.0736,13.5,1.619607843137255
2.3,1.56,0.1058,2.2,1.3490196078431373
2.7,2.13,0.1047,2.88,1.388235294117647
2.42,1.673,0.1037,6.4,1.3611764705882354
1800.0,15.69257298,0.047,451.31633794,9.254901960784315
860.0,3.42,0.026,22.4,5.470588235294118
34.68,6.05284958,0.1732,47.03860424,2.652549019607843
883.0,1.62,0.019,3.48,5.949019607843137
139.0,11.89,0.071,25.1,3.7529411764705882
5300.0,16.70138124,0.046,991.62462984,9.294117647058824
145.0,3.04,0.0553,9.4,3.8078431372549018
65.0,2.75,0.083,10.6,3.1137254901960785
5.45,2.749,0.0567,19.5,1.6705882352941177
1.8,1.672,0.061,4.82,1.2784313725490195
36.4,1.401,0.02107,3.04,2.680392156862745
2.13,2.126,0.08608,4.1,1.3258823529411765
46.3,2.18,0.0285,7.32,2.8784313725490196
3.35,2.47,0.106,7.24,1.4627450980392156
1062.0,14.414774,0.03138,375.0394,6.227450980392157
121.0,1.79,0.01545,4.91,3.623529411764706
236.0,1.468,0.01138,3.03,4.1647058823529415
1443.0,12.172974,0.03524,251.40353,6.7254901960784315
39.0,1.9,0.033548,6.36,2.7372549019607844
13.5,3.24,0.0235,56.6,2.0901960784313727
33.0,5.15,0.164,18.4,2.8627450980392157
299.0,10.816685,0.0914,1722.6386,4.698039215686275
57.78,5.05,0.0391,26.78,3.007843137254902
329.6,3.05,0.074,11.9,4.650980392156863
6.39,3.14,0.1177,10.8,1.7372549019607844
2300.0,16.14093221,0.04882,222.4798849,7.556862745098039
58.0,2.99,0.06,10.32,2.929411764705882
22.0,4.29,0.097,8.0,2.3058823529411763
102.43,6.9559,0.0539,46.1687,3.5101960784313726
2.9,12.89035,0.1587,209.7678,1.419607843137255
3.4,11.09689089,0.1525,212.94503269,1.4823529411764707
3230.0,13.97759893,0.01932,638.83509807,8.223529411764705
628.0,2.7,0.04271,11.0,5.8352941176470585
149.0,8.14,0.0878,81.7,4.070588235294117
4.09,11.81426566,0.5516,408.7273314,1.5694117647058823
11.47,3.39,0.0301,16.4,2.007843137254902
13.185,3.309,0.029322,9.2,2.0819607843137256
567.0,14.20177855,0.066,254.2627256,5.325490196078431
3.43,1.25,0.101,4.1,1.3607843137254902
1.84,1.33,0.137,7.4,1.1647058823529413
3.61,2.122,0.0377,6.8,1.5058823529411764
32.0,2.69,0.078,9.13,2.611764705882353
1.4,7.27,0.371,41.89,1.2
4.4,2.09,0.054,15.0,1.580392156862745
4.0,2.19,0.057,6.37,1.5490196078431373
4.82,2.2,0.0533,4.7,1.4823529411764707
10.1,11.29,0.2069,200.0,1.9490196078431372
25.9,7.69,0.1293,30.0,2.462745098039216
577.0,12.50922246,0.0896,329.58805806,5.349019607843137
2.71,11.32107051,0.828,875.61726129,1.3647058823529412
1600.0,19.83989584,0.03319,298.75870258,6.913725490196079
2000.0,3.51,0.02234,26.0,7.294117647058823
406.0,11.1529358,0.0854,203.41018048,4.9372549019607845
1356.0,14.36991326,0.05009,502.16888306,6.6196078431372545
1.54,1.74,0.1363,19.5,1.1137254901960785
22.04,0.994,0.0924,2.31,2.3650980392156864
10.15,1.874,0.1362,18.1,1.948235294117647
1360.0,16.11851425,0.0473,394.10722468,6.623529411764705
237.0,8.60849718,0.04871,71.51139158,4.2784313725490195
25.3,11.72459381,0.05263,1830.69162432,2.447058823529412
728.0,1.402,0.02118,3.4,5.141176470588236
58.3,2.18,0.0749,6.7,2.7294117647058824
689.0,12.25141591,0.059,235.19302118,5.592156862745098
104.3,11.48920522,0.02793,624.85064816,3.4890196078431375
6.69,2.86,0.02267,15.6,1.7607843137254902
1017.0,15.02003414,0.0684,294.62693329,6.163137254901961
923.6,10.36830715,0.0543,105.83685953,6.015686274509804
7.3,1.52,0.0559,2.68,1.796078431372549
865.0,2.83,0.0482,13.31,5.9192156862745104
275.6,12.1393261,0.1093,766.60211768,4.447058823529412
558.0,10.92875618,0.0672,63.88350981,5.301960784313725
186.0,7.16253867,0.1528,43.86032017,4.027450980392157
699.0,13.64132951,0.04145,260.61929374,5.6117647058823525
1730.0,17.37392009,0.048,200.23189641,9.450980392156863
750.9,14.4595851,0.0571,79.45710175,5.709803921568628
728.0,12.07207221,0.0635,69.28659273,5.666666666666667
602.0,18.10250383,0.0607,122.6817651,5.43921568627451
19.0,2.77,0.0345,8.8,2.0823529411764707
352.0,17.26183028,0.0569,139.84449908,4.7254901960784315
