pl_name,hostname,pl_eqt,pl_rade,pl_orbsmax,pl_masse,st_teff,st_lum
HATS-23 b,HATS-23,1654.0,20.84874,0.03397,467.2101,5780.0,0.15534
HATS-24 b,HATS-24,2166.0,15.636555,0.0238,718.2958,6125.0,0.19
HATS-24 b,HATS-24,2067.0,16.667783,0.02547,775.5052,6346.0,0.29226
HATS-25 b,HATS-25,1277.0,14.12334,0.05163,194.82979,5715.0,0.06819
HATS-26 b,HATS-26,1918.0,19.61575,0.04735,206.5895,6071.0,0.70415
HATS-27 b,HATS-27,1659.0,16.8135,0.0611,168.4499,6438.0,0.66932
HATS-28 b,HATS-28,1253.0,13.383546,0.04131,213.58176,5498.0,-0.15739
HATS-29 b,HATS-29,1212.0,14.022459,0.05475,207.54299,5670.0,0.02938
HATS-3 b,HATS-3,1648.0,15.48,0.0485,340.382,6351.0,0.456
HATS-30 b,HATS-30,1414.0,13.170575,0.04354,224.38798,5943.0,0.09691
HATS-31 b,HATS-31,1823.0,18.38276,0.0478,279.6904,6050.0,0.61909
HATS-32 b,HATS-32,1437.0,14.000041,0.04024,292.4036,5700.0,0.0569
HATS-33 b,HATS-33,1429.0,13.78707,0.03727,378.85336,5659.0,-0.01773
HATS-34 b,HATS-34,1445.0,16.02887,0.03166,299.07803,5380.0,-0.14026
HATS-35 b,HATS-35,2037.0,16.409976,0.03199,388.38826,6300.0,0.46538
HATS-36 b,HATS-36,1356.0,13.843115,0.05425,1022.14128,6149.0,0.21484
HATS-37 A b,HATS-37 A,1085.0,6.792654,0.04913,31.46517,5326.0,-0.25571
HATS-38 b,HATS-38,1294.0,6.882326,0.05036,23.51942,5732.0,0.07151
HATS-39 b,HATS-39,1645.0,17.59813,0.06007,200.2329,6572.0,0.64048
HATS-4 b,HATS-4,1315.0,11.433,0.0362,420.471,5403.0,-0.187
HATS-40 b,HATS-40,2101.0,17.71022,0.04997,505.3497,6460.0,0.90309
HATS-41 b,HATS-41,1710.0,14.90797,0.0583,3082.951,6424.0,0.65321
HATS-42 b,HATS-42,1856.0,15.6926,0.03689,597.5204,6060.0,0.42488
HATS-43 b,HATS-43,1003.0,13.22662,0.04944,82.95363,5099.0,-0.39794
HATS-44 b,HATS-44,1161.0,11.960003,0.03649,177.9848,5080.0,-0.39794
HATS-45 b,HATS-45,1518.0,14.414774,0.05511,222.481,6450.0,0.42488
HATS-46 b,HATS-46,1054.0,10.121727,0.05367,54.98459,5495.0,-0.22988
HATS-47 b,HATS-47,852.9,12.520453,0.04269,117.27927,4512.0,-0.79615
HATS-48 A b,HATS-48 A,954.6,8.9672,0.03769,77.23269,4546.0,-0.70885
HATS-49 b,HATS-49,834.8,8.574885,0.04515,112.19399,4405.0,-0.78489
HATS-5 b,HATS-5,1025.0,10.223,0.0542,75.323,5304.0,-0.268
HATS-51 b,HATS-51,1553.0,15.80469,0.04639,244.09344,5758.0,0.30963
HATS-52 b,HATS-52,1834.0,15.490838,0.02498,711.9392,6010.0,0.06819
HATS-53 b,HATS-53,1312.0,15.02006,0.04753,189.10885,5644.0,0.04532
HATS-54 b,HATS-54,1429.0,11.37711541,0.037,239.32479047,5621.0,0.11461
HATS-54 b,HATS-54,1625.0,11.960003,0.03763,241.5508,5702.0,0.21245
HATS-55 b,HATS-55,1367.0,14.022459,0.05412,292.72143,6214.0,0.22891
HATS-56 b,HATS-56,1902.0,18.920792,0.06043,191.33366,6536.0,0.89763
HATS-57 b,HATS-57,1413.4,12.767051,0.03493,1000.21101,5587.0,-0.0942
HATS-58 A b,HATS-58 A,1721.0,12.273855,0.05798,327.3649,7175.0,0.68931
HATS-59 b,HATS-59,1128.0,12.621334,0.06112,256.17098,5670.0,-0.00436
HATS-60 b,HATS-60,1528.0,12.923977,0.04708,210.40346,5688.0,0.30016
HATS-61 b,HATS-61,1226.1,13.394755,0.07908,1080.622,5542.0,0.36922
HATS-62 b,HATS-62,1237.0,11.825495,0.04163,56.89157,5416.0,-0.17328
HATS-63 b,HATS-63,1398.3,13.529263,0.04026,305.1168,5627.0,0.01199
HATS-64 b,HATS-64,1793.0,18.819911,0.06562,305.1168,6554.0,0.86747
HATS-65 b,HATS-65,1634.0,16.824709,0.04497,260.93843,6277.0,0.37658
HATS-66 b,HATS-66,1998.0,15.815899,0.04714,1694.0339,6626.0,0.76716
HATS-67 b,HATS-67,2193.0,18.887165,0.03032,460.8535,6594.0,0.54654
HATS-68 b,HATS-68,1741.0,13.809488,0.05071,410.0007,6147.0,0.59218
HATS-69 b,HATS-69,1295.7,10.592505,0.03211,183.38791,5137.0,-0.31758
HATS-7 b,HATS-7,1084.0,6.310667,0.04012,38.1396,4985.0,-0.43415
HATS-70 b,HATS-70,2730.0,15.513256,0.03632,4100.007,7930.0,1.07918
HATS-71 b,HATS-71,586.8,11.478016,0.03745,117.5971,3405.0,-1.55988
HATS-72 b,HATS-72,739.3,8.0973816,0.066517,39.855882,4656.1,-0.65896
HATS-74 A b,HATS-74 A,895.1,11.56766808,0.02384,464.02947422,3776.9,-1.2161
HATS-75 b,HATS-75,772.3,9.90873894,0.032742,156.05374784,3790.4,-1.19661
HATS-76 b,HATS-76,939.8,12.09449018,0.02658,835.570882,4016.0,-1.0381
HATS-77 b,HATS-77,828.3,13.05846252,0.03607,436.69623122,4071.0,-0.99183
HATS-9 b,HATS-9,1823.0,11.937585,0.03048,266.02371,5366.0,0.23
HD 118203 b,HD 118203,1494.0,12.73340208,0.07071,688.41632956,5683.0,0.61805
HD 118203 b,HD 118203,1371.0,12.55405838,0.0701,693.50158407,5788.0,0.69984
HD 118203 b,HD 118203,1360.0,12.06086323,0.08635,725.28442477,5872.0,0.6458
HD 135344 A b,HD 135344 A,1585.0,16.25302201,16.5,3178.28407,9540.0,1.22
HD 135694 b,HD 135694,750.83,2.5320132,0.12,6.1,5698.0,0.03941
HD 136352 b,HD 136352,905.0,1.664,0.0964,4.72,5664.0,0.0162
HD 136352 b,HD 136352,911.0,1.482,0.0969,4.62,5850.0,0.03383
HD 136352 c,HD 136352,677.0,2.916,0.1721,11.24,5664.0,0.0162
HD 136352 c,HD 136352,682.0,2.608,0.1729,11.29,5850.0,0.03383
HD 136352 d,HD 136352,431.0,2.562,0.425,8.82,5664.0,0.0162
HD 1397 b,HD 1397,1228.3,11.500434,0.1097,131.89945,5521.0,0.65992
HD 1397 b,HD 1397,1519.0,11.466807,0.1003,116.64361,5474.0,0.63548
HD 149026 b,HD 149026,1634.0,7.330686,0.04313,114.10097,6160.0,0.38561
HD 15337 b,HD 15337,1006.0,1.699,0.05245,7.2,5131.0,-0.32606
HD 15337 c,HD 15337,656.1,2.522,0.1235,8.79,5131.0,-0.32606
HD 183579 b,HD 183579,769.0,3.55,0.1334,19.7,5788.0,0.012
HD 183579 b,HD 183579,752.0,3.49,0.1322,20.4,5784.0,-0.03386
HD 189733 b,HD 189733,1201.0,12.756,0.03099,363.582,5040.0,-0.48
HD 189733 b,HD 189733,1209.0,12.542871,0.03106,370.58978,5050.0,-0.46547
HD 191939 b,HD 191939,880.0,3.41,0.0804,10.0,5348.0,-0.18709
HD 191939 b,HD 191939,893.0,3.39,0.078,10.4,5348.0,-0.18709
HD 191939 b,HD 191939,818.69,3.39512346,0.079,9.6,5385.0,-0.17783
HD 191939 c,HD 191939,605.0,3.08,0.17,7.2,5348.0,-0.18709
